role_frac,seed,jaccard,base_edges,kanon_pct,kanon_overlap_pct,kdegree_pct,deanon_pct
1.0,19,0.1155360305591894,2566,162.97739672642246,67.03039750584567,3.4294621979735,1.3250194855806703
1.0,20,0.13090625290168217,2633,163.42575009494874,53.513102924420814,3.570072161033042,1.2533232054690466
1.0,21,0.13745797992372447,2899,163.19420489824077,82.20075888237324,3.0700241462573303,1.1728182131769576
1.0,22,0.11471112813565525,2441,160.75378943056126,63.90823433019254,4.055714870954527,1.3519049569848423
1.0,23,0.12477761098015105,2413,165.89307915457937,77.95275590551181,3.8126813095731453,1.4504765851636967
1.0,24,0.12391473121179075,2270,160.44052863436124,87.5330396475771,4.229074889867841,1.497797356828194
1.0,25,0.1265259561318946,2590,164.44015444015443,55.907335907335906,3.3204633204633205,1.2355212355212355
1.0,26,0.10839986780566079,2396,165.02504173622705,64.6076794657763,3.33889816360601,1.4190317195325544
1.0,27,0.1290549751001812,2194,163.40018231540566,64.63081130355515,5.4238833181403825,1.504102096627165
1.0,28,0.11670345503761528,2317,166.11998273629695,72.24859732412602,4.056970220112214,1.46741476046612
1.0,29,0.12384115670933077,2456,140.92019543973942,79.80456026058631,4.030944625407166,1.3436482084690553
